@relation trainingset

@attribute age numeric
@attribute job {JobCat6,JobCat9,JobCat11,JobCat10,JobCat4,JobCat1,JobCat2,JobCat7,JobCat3,JobCat8,JobCat5,unknown}
@attribute marital {married,single,divorced}
@attribute education {tertiary,secondary,unknown,primary,low}
@attribute gender {m,f}
@attribute incumbent {yes,no}
@attribute profile {low,med,high}
@attribute party {SF,FG,NP,FF,PBP,Renu,SDP,LAB}
@attribute outcome {eliminated,elected}

@data
34,JobCat6,married,tertiary,m,yes,low,SF,eliminated
56,JobCat9,married,secondary,m,yes,low,SF,elected
51,JobCat11,single,secondary,m,no,low,FG,eliminated
31,JobCat10,divorced,secondary,m,yes,low,FG,eliminated
32,JobCat11,married,tertiary,m,yes,low,FG,eliminated
28,JobCat11,married,secondary,m,yes,low,FG,elected
28,JobCat6,single,tertiary,m,yes,low,FG,eliminated
44,JobCat4,married,tertiary,m,yes,low,FG,eliminated
51,JobCat9,married,secondary,m,yes,low,FG,eliminated
44,JobCat6,married,tertiary,m,yes,low,FG,eliminated
32,JobCat9,single,secondary,m,yes,low,FG,eliminated
47,JobCat1,married,tertiary,m,yes,low,FG,eliminated
40,JobCat6,single,secondary,m,yes,low,FG,eliminated
35,JobCat6,married,tertiary,f,no,low,FG,eliminated
58,JobCat11,married,unknown,m,yes,low,FG,eliminated
50,JobCat6,married,secondary,m,no,low,FG,eliminated
56,JobCat2,married,secondary,m,yes,low,FG,eliminated
51,JobCat4,married,tertiary,m,no,low,FG,eliminated
50,JobCat9,single,secondary,m,yes,low,FG,eliminated
28,JobCat6,married,tertiary,m,yes,low,FG,eliminated
34,JobCat6,married,tertiary,m,yes,low,FG,eliminated
32,JobCat1,married,tertiary,m,yes,low,FG,eliminated
48,JobCat6,single,tertiary,m,no,low,FG,eliminated
59,JobCat6,married,tertiary,m,no,low,FG,eliminated
53,JobCat7,married,secondary,m,no,low,FG,eliminated
56,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
32,JobCat11,single,secondary,m,yes,low,FG,eliminated
54,JobCat9,married,secondary,m,yes,low,FG,eliminated
59,JobCat6,married,primary,m,yes,low,FG,eliminated
40,JobCat9,married,secondary,m,yes,low,FG,eliminated
45,JobCat6,married,secondary,m,no,low,FG,eliminated
43,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
55,JobCat4,divorced,tertiary,m,no,low,FG,eliminated
49,JobCat4,married,tertiary,m,yes,low,FG,eliminated
37,JobCat3,single,primary,m,yes,low,FG,eliminated
42,JobCat9,married,tertiary,m,yes,low,FG,elected
42,JobCat7,married,secondary,m,yes,low,FG,eliminated
41,JobCat9,married,secondary,m,yes,low,FG,eliminated
51,JobCat9,married,secondary,m,yes,low,FG,eliminated
52,JobCat9,married,tertiary,m,yes,low,FG,eliminated
42,JobCat4,married,tertiary,m,no,low,FG,eliminated
33,JobCat4,married,secondary,m,yes,low,FG,eliminated
36,JobCat6,married,tertiary,m,yes,low,FG,eliminated
43,JobCat8,married,secondary,m,yes,low,FG,eliminated
42,JobCat10,married,unknown,m,yes,low,FG,elected
54,JobCat7,married,secondary,m,yes,low,FG,eliminated
51,JobCat6,married,tertiary,m,yes,low,FG,eliminated
51,JobCat9,married,secondary,m,yes,low,FG,eliminated
42,JobCat9,single,secondary,m,no,low,FG,eliminated
46,JobCat7,divorced,secondary,m,no,low,FG,elected
44,JobCat6,married,tertiary,m,yes,low,FG,eliminated
41,JobCat10,married,primary,m,yes,low,FG,eliminated
35,JobCat6,single,tertiary,m,yes,low,FG,eliminated
53,JobCat11,married,secondary,m,no,low,FG,eliminated
53,JobCat8,married,secondary,m,no,low,FG,eliminated
52,JobCat9,married,secondary,m,no,low,FG,eliminated
34,JobCat6,divorced,tertiary,m,yes,low,FG,elected
35,JobCat11,married,tertiary,m,yes,low,FG,eliminated
30,JobCat11,married,secondary,m,yes,low,FG,eliminated
41,JobCat6,married,tertiary,m,yes,low,FG,eliminated
43,JobCat1,married,primary,m,no,low,FG,eliminated
56,JobCat6,married,tertiary,m,yes,low,FG,eliminated
36,JobCat9,married,secondary,m,yes,low,FG,eliminated
42,JobCat9,married,primary,m,no,low,FG,eliminated
51,JobCat3,married,secondary,m,yes,low,FG,eliminated
36,JobCat3,married,primary,m,yes,low,FG,eliminated
36,JobCat6,single,tertiary,m,yes,low,FG,eliminated
53,JobCat2,married,tertiary,m,no,low,FG,elected
41,JobCat3,married,secondary,m,yes,low,FG,eliminated
48,JobCat6,divorced,tertiary,m,yes,low,FG,eliminated
54,JobCat6,married,tertiary,m,yes,low,FG,eliminated
40,JobCat1,married,secondary,m,yes,low,FG,eliminated
57,JobCat6,married,secondary,m,no,low,FG,eliminated
28,JobCat9,single,secondary,m,yes,low,FG,eliminated
56,JobCat6,single,secondary,m,yes,low,FG,eliminated
37,JobCat9,married,secondary,m,no,low,FG,eliminated
43,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
44,JobCat6,married,tertiary,m,yes,low,FG,eliminated
48,JobCat9,married,unknown,m,yes,low,FG,eliminated
43,JobCat6,married,tertiary,m,yes,low,FG,eliminated
40,JobCat9,married,secondary,m,yes,low,FG,eliminated
56,JobCat7,married,secondary,m,no,low,FG,eliminated
56,JobCat6,single,tertiary,m,yes,low,FG,eliminated
35,JobCat6,married,secondary,m,no,low,FG,eliminated
58,JobCat3,divorced,secondary,m,no,low,FG,eliminated
45,JobCat4,married,secondary,m,no,low,FG,eliminated
50,JobCat9,married,secondary,m,yes,low,FG,eliminated
44,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
43,JobCat9,married,tertiary,m,yes,low,FG,eliminated
40,JobCat8,married,tertiary,m,yes,low,FG,eliminated
34,JobCat1,married,primary,m,yes,low,FG,eliminated
44,JobCat6,married,tertiary,m,yes,low,FG,eliminated
